contrast_id	ENSEMBL	SYMBOL	GENENAME	ENTREZID	log2fc_isst_flight_vs_gc	stat_isst_flight_vs_gc	pvalue_isst_flight_vs_gc	padj_isst_flight_vs_gc	group_mean_isst_gc	group_stdev_isst_gc	group_mean_isst_flight	group_stdev_isst_flight
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110682	A530010L16Rik	RIKEN cDNA A530010L16 gene	382036	-0.0811990524737365	-0.190919505387099	0.848588658166803	0.994382027752938	16.3713766512159	10.7371643723067	15.6264165534419	7.735000341218
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110684				1.6413221787835	1.12021414951393	0.262622515720772		1.96937679237245	2.07158919343953	4.09768637548391	6.23760175292874
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110686				-0.0475129413992582	-0.0876837241585007	0.930128056032321	0.998189566834639	7.75586975726064	5.72584017103305	7.58242084537004	5.07208267536519
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110689				-0.670138733780568	-0.283775570137081	0.776582377422012		1.29027292686869	0.917923591988539	1.0	0.0
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110692				-1.45159773323274	-1.00175108062963	0.316463829316057		2.12696668936347	2.45670705746219	1.36069691659446	0.61624287677229
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110693				-1.17123192123683	-1.19255920563029	0.233042050523628		1.88018839667101	0.735234298891967	1.36782381892144	0.477236125291631
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110696				0.909200477198163	1.40103416313739	0.161203857348848	0.774245041885489	2.08900700264669	1.14609530372843	3.22552272337471	2.35107242822737
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110697				-0.125426156174153	-0.472295220929172	0.636716081082166	0.979822336830095	37.3252693325854	24.4227939748343	34.6731448631823	8.40938996083415
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110699				0.0626930527515495	0.0624548452602631	0.950200619962876	0.998950103491778	3.73604170919012	3.5127951695349	3.8958006862635	3.30787824905084
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110702				0.160332683470312	0.577856817115112	0.563360791904133	0.967214126999272	68.7756942812816	39.2049597657248	76.9211659743717	25.4826927473951
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110706				-0.948132873068398	-0.676518394819335	0.498711571092554		1.47332908297867	0.670388603409526	1.19128143677915	0.40524816689324
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110710				-0.206521462651233	-0.704988892326277	0.480817148696943	0.952523004124078	16.7182857434316	7.74468057926276	14.7605413068557	9.2389507674202
